          Jan      Feb      Mar      Apr      May      Jun      Jul      Aug      Sep      Oct      Nov      Dec
1899  -0.1416  -0.1319  -0.0991  -0.0121   0.0857   0.0551  -0.0309   0.1261  -0.0159  -0.0292   0.1183   0.2044
1900   0.1353   0.1260  -0.0261   0.0708  -0.1152  -0.1278  -0.0459  -0.1398  -0.0919  -0.0002  -0.0326   0.0464
1901  -0.0206   0.1130   0.0748   0.0608  -0.0282   0.0931   0.0490   0.0451  -0.1359  -0.2212  -0.1536  -0.1525
1902  -0.1836  -0.1039  -0.1051  -0.2371  -0.1982  -0.3748  -0.4239  -0.3058  -0.1369  -0.0952  -0.1886  -0.1715
1903  -0.1066  -0.0159  -0.1381  -0.1551  -0.2492  -0.2968  -0.2949  -0.5768  -0.5909  -0.4762  -0.3096  -0.3765
1904  -0.4146  -0.4409  -0.4571  -0.5071  -0.5012  -0.5488  -0.4669  -0.4788  -0.6109  -0.4782  -0.2676  -0.2365
1905  -0.2866  -0.2479  -0.4351  -0.2551  -0.1652  -0.2898  -0.1819  -0.2718  -0.4869  -0.3582  -0.3356  -0.3255
1906  -0.1316  -0.0959  -0.1271  -0.1251  -0.2602  -0.1078  -0.1329  -0.1918  -0.2489  -0.2452  -0.0826  -0.3035
1907  -0.2426  -0.4109  -0.3271  -0.2401  -0.2472  -0.3678  -0.4049  -0.4398  -0.3049  -0.3222  -0.2906  -0.2665
1908  -0.2866  -0.2919  -0.3111  -0.2851  -0.2592  -0.1758  -0.0979  -0.1148  -0.2129  -0.2212  -0.2156  -0.1955
1909  -0.1576  -0.1999  -0.1691  -0.2231  -0.1002  -0.2378  -0.2869  -0.2038  -0.2369  -0.2492  -0.3496  -0.3055
1910  -0.3576  -0.3059  -0.3261  -0.3821  -0.4322  -0.4678  -0.4059  -0.3778  -0.2259  -0.2862  -0.1336  -0.3115
1911  -0.3006  -0.3049  -0.3711  -0.3891  -0.4322  -0.3438  -0.2829  -0.1808  -0.2359  -0.2062  -0.2836  -0.2395
1912  -0.2826  -0.3099  -0.2791  -0.2351  -0.2012  -0.2528  -0.3689  -0.5078  -0.3599  -0.3412  -0.2736  -0.2995
1913  -0.3506  -0.2599  -0.2831  -0.5051  -0.5322  -0.6658  -0.5489  -0.5458  -0.5409  -0.4702  -0.5046  -0.3885
1914  -0.2646  -0.3639  -0.4621  -0.4461  -0.3442  -0.4748  -0.5389  -0.4788  -0.2989  -0.1992  -0.2306  -0.2875
1915  -0.1676  -0.1599  -0.0571  -0.0081   0.1827   0.1991   0.2120   0.1061   0.0890  -0.0542  -0.0506  -0.0455
1916  -0.0756  -0.1389  -0.1441  -0.1761  -0.0572  -0.0638  -0.1769  -0.1198  -0.1089  -0.1552  -0.2816  -0.2625
1917  -0.3266  -0.3869  -0.4501  -0.3601  -0.3272  -0.2408  -0.3089  -0.2918  -0.3839  -0.4192  -0.3576  -0.3105
1918  -0.1316  -0.2099  -0.1631  -0.2301  -0.3092  -0.5058  -0.4629  -0.4878  -0.4639  -0.3332  -0.3346  -0.2725
1919  -0.2536  -0.0909  -0.2351  -0.1041  -0.2322  -0.3058  -0.3769  -0.2858  -0.2889  -0.2152  -0.2596  -0.3365
1920  -0.4856  -0.4319  -0.4911  -0.3801  -0.3172  -0.3618  -0.3659  -0.3948  -0.3699  -0.3362  -0.4566  -0.3455
1921  -0.3116  -0.2999  -0.3541  -0.3071  -0.3122  -0.3258  -0.1959  -0.3348  -0.3159  -0.1212  -0.2886  -0.1605
1922  -0.2236  -0.2649  -0.3741  -0.4501  -0.3772  -0.4058  -0.4609  -0.3948  -0.4559  -0.3502  -0.3746  -0.3615
1923  -0.3796  -0.4809  -0.4351  -0.4661  -0.3372  -0.3858  -0.4039  -0.5088  -0.4539  -0.3252  -0.2366  -0.0955
1924  -0.1446  -0.2169  -0.1321  -0.0911  -0.0082  -0.1668  -0.2059  -0.2178  -0.2869  -0.2942  -0.3346  -0.3185
1925  -0.3366  -0.3259  -0.2641  -0.2111  -0.1292  -0.2568  -0.2219  -0.2098  -0.1999  -0.1422  -0.1886   0.0174
1926   0.0253   0.0940   0.0238   0.0788   0.0767   0.0031   0.0660  -0.0238  -0.0359   0.1237   0.0123   0.0624
1927   0.0743   0.0660   0.0188   0.0408   0.1447   0.0911   0.0830   0.0841   0.0290   0.1217   0.1253  -0.0485
1928  -0.0496  -0.1019  -0.1121  -0.1231  -0.0272   0.0071   0.0160   0.0311   0.0150  -0.0062  -0.0596  -0.1115
1929  -0.0886  -0.1049  -0.1051  -0.0371  -0.1512  -0.2488  -0.2459  -0.2218  -0.1339  -0.0992  -0.1196  -0.2045
1930  -0.1206  -0.1769  -0.1071  -0.2291  -0.1492  -0.1338  -0.0039   0.0041   0.2210   0.1597   0.1503   0.1274
1931   0.1193   0.0670   0.1378   0.1348   0.1897   0.2171   0.1330   0.0891   0.2000   0.2797   0.0583   0.1584
1932   0.1843   0.2340   0.2408   0.1988   0.1217   0.1961   0.2130   0.3281   0.2750   0.2017   0.1403   0.0854
1933   0.0993   0.1630   0.0868   0.2008   0.2617   0.1981   0.2240   0.2251   0.1850   0.2967   0.0853  -0.0055
1934  -0.0976  -0.1799  -0.2121  -0.1011  -0.1392  -0.0088   0.1180   0.0261   0.0870   0.1397   0.0253  -0.0095
1935   0.0583  -0.1229  -0.1481   0.0498   0.1167   0.0691   0.0130  -0.0458  -0.0899  -0.0462   0.0313   0.0984
1936   0.1563   0.1600   0.1978   0.1938   0.1457   0.1551   0.1470   0.1651   0.1230   0.0777   0.0333   0.0484
1937   0.0763   0.1030   0.1048   0.0698   0.1117   0.4151   0.5660   0.5451   0.4590   0.2737   0.2723   0.3564
1938   0.2353   0.1710   0.2088   0.2398   0.1867   0.1361   0.1620   0.2551   0.2640   0.3337   0.3373   0.2244
1939   0.1613   0.1010  -0.0201   0.1008   0.0917   0.1481   0.2860   0.2821   0.2570  -0.0072  -0.1306  -0.0705
1940   0.0913  -0.1679  -0.1291  -0.0241  -0.0092  -0.0128   0.0600   0.0681  -0.0149  -0.0642  -0.1076  -0.1265
1941  -0.0296   0.1230   0.1488   0.0758   0.0297  -0.0428   0.0550   0.2441   0.2680   0.4037   0.4203   0.3414
1942   0.1703   0.2300   0.2128   0.2188   0.2037   0.2391   0.0700   0.1141   0.1900   0.1937   0.2273   0.1094
1943   0.1683   0.1310  -0.0791  -0.1181  -0.1252  -0.0928  -0.0109  -0.0118   0.0460   0.0737   0.1773   0.2484
1944   0.3423   0.3550   0.4498   0.3358   0.2937   0.3331   0.3370   0.4191   0.3910   0.3637   0.3093   0.2974
1945   0.3043   0.3900   0.3948   0.4358   0.3147   0.1631   0.0630   0.0851   0.0610   0.1037   0.2253   0.1654
